V1,V2,V3
joias_e_relogios,2,Bulova
joias_e_relogios,3,Casio
joias_e_relogios,4,Champion
joias_e_relogios,5,Chilli Beans
joias_e_relogios,6,Citizen
joias_e_relogios,7,Condor
joias_e_relogios,8,Diesel
joias_e_relogios,9,Dior
joias_e_relogios,10,Dolce & Gabbana
joias_e_relogios,11,Dumont
joias_e_relogios,12,Emporio Armani
joias_e_relogios,13,Gucci
joias_e_relogios,14,Guess
joias_e_relogios,15,H.Stern
joias_e_relogios,16,Hugo Boss
joias_e_relogios,17,Invicta
joias_e_relogios,18,Lacoste
joias_e_relogios,19,Lince
joias_e_relogios,20,Magnum
joias_e_relogios,21,Marc Jacobs
joias_e_relogios,22,Mondaine
joias_e_relogios,23,Mormaii
joias_e_relogios,24,Nike
joias_e_relogios,25,Omega
joias_e_relogios,26,Orient
joias_e_relogios,27,Pandora
joias_e_relogios,28,Puma
joias_e_relogios,29,Rolex
joias_e_relogios,30,Rommanel
joias_e_relogios,31,Scuderia Ferrari 
joias_e_relogios,32,Seculus
joias_e_relogios,33,Seiko
joias_e_relogios,34,Speedo
joias_e_relogios,35,Swatch
joias_e_relogios,36,Tag Heuer
joias_e_relogios,37,Technos
joias_e_relogios,38,Tommy Hilfiger
joias_e_relogios,-2,Outro 1
joias_e_relogios,-3,Outro 2
joias_e_relogios,-4,Outro 3
joias_e_relogios,-5,Outro 4
joias_e_relogios,-6,Outro 5
joias_e_relogios,-1,NS/NO
oticas,1,Ampla Visão
oticas,2,Avvistare
oticas,3,Beto Ótica
oticas,4,Casa Lux Ótica
oticas,5,Fototica
oticas,6,New Ótica
oticas,7,Ocularium
oticas,8,Oculum
oticas,9,Ótica Focal
oticas,10,Ótica Igarassu
oticas,11,Ótica Visão
oticas,12,Óticas Carol
oticas,13,Óticas Diniz
oticas,14,Óticas Focus
oticas,-2,Outra
oticas,-3,Outro 2
oticas,-4,Outro 3
oticas,-5,Outro 4
oticas,-6,Outro 5
oticas,-1,NS/NO
arroz,1,Blue Ville
arroz,2,Bom na Mesa
arroz,3,Bom no Prato
arroz,4,Bom Preço
arroz,5,Caldo Bom
arroz,6,Camil
arroz,7,Cristal
arroz,8,Dellarroz
arroz,9,Emoções
arroz,10,Great Value
arroz,11,Mariano
arroz,12,Meu Biju
arroz,13,Namorado
arroz,14,POP
arroz,15,Primor
arroz,16,Qualitá
arroz,17,Saman
arroz,18,Tio João
arroz,19,Tio Jorge
arroz,20,Urbano
arroz,21,Yoki (Mais Vita)
arroz,22,Zaeli
arroz,-2,Outra
arroz,-3,Outro 2
arroz,-4,Outro 3
arroz,-5,Outro 4
arroz,-6,Outro 5
arroz,-1,NS/NO
biscoito_doce,1,Adria
biscoito_doce,2,Bauducco
biscoito_doce,3,BelaVista
biscoito_doce,4,Bompreço
biscoito_doce,32,Bono
biscoito_doce,39,Capricche
biscoito_doce,30,Chocoresco
biscoito_doce,38,Classic
biscoito_doce,5,Confiança
biscoito_doce,6,Estrela
biscoito_doce,7,Fortaleza
biscoito_doce,8,Garoto
biscoito_doce,9,Isabela
biscoito_doce,10,Kinitos
biscoito_doce,11,Mabel
biscoito_doce,12,Marilan
biscoito_doce,13,Mirabel
biscoito_doce,33,Negresco
biscoito_doce,37,Nescau
biscoito_doce,34,Nesfit
biscoito_doce,14,Nestlé
biscoito_doce,15,Oreo (Mondelez)
biscoito_doce,31,Passatempo
biscoito_doce,16,Pilar
biscoito_doce,17,Piraquê
biscoito_doce,36,Prestígio
biscoito_doce,18,Qualitá
biscoito_doce,19,Richester
biscoito_doce,20,São Braz
biscoito_doce,21,Toddy
biscoito_doce,22,Tortuguita
biscoito_doce,35,Tostines
